"year","CU","spawners","recruits"
1981,"5 - Bute Inlet",131151.475855733,142255.236401699
1982,"5 - Bute Inlet",207764.714226903,354012.140926432
1983,"5 - Bute Inlet",85517.1414539839,134290.436310143
1984,"5 - Bute Inlet",109076.474969124,161954.61460055
1985,"5 - Bute Inlet",79470.0031917904,33567.1745176946
1986,"5 - Bute Inlet",274392.025257919,43449.9783567275
1987,"5 - Bute Inlet",82586.473905194,48910.6177016507
1988,"5 - Bute Inlet",112712.357468095,341059.427595961
1989,"5 - Bute Inlet",22854.1185649593,253002.594270058
1990,"5 - Bute Inlet",12465.8828536142,131215.347887659
1991,"5 - Bute Inlet",44934.1556099485,62218.3853350037
1992,"5 - Bute Inlet",197376.478515558,35897.1618616544
1993,"5 - Bute Inlet",200492.949228961,32505.8490361958
1994,"5 - Bute Inlet",106479.416041288,31689.4019118677
1995,"5 - Bute Inlet",59212.9435546674,11915.7282194569
1996,"5 - Bute Inlet",24572.420172351,13812.0868278034
1997,"5 - Bute Inlet",27797.550319972,49000.9553616376
1998,"5 - Bute Inlet",20686.2217012129,66266.1413969241
1999,"5 - Bute Inlet",10392.0860312234,53798.9286310942
2000,"5 - Bute Inlet",10343.1108506064,12506.0970572534
2001,"5 - Bute Inlet",51715.5542530322,42362.5749746605
2002,"5 - Bute Inlet",58772.1416308584,35289.1449512367
2003,"5 - Bute Inlet",34500.7391310541,12397.5830041215
2004,"5 - Bute Inlet",1247.5836145821,22815.3257355703
2005,"5 - Bute Inlet",38499.973495496,73159.4337236774
2006,"5 - Bute Inlet",24600.7982407038,15512.8690015042
2007,"5 - Bute Inlet",507.491639830007,NA
2008,"5 - Bute Inlet",43763.40258894,NA
2009,"5 - Bute Inlet",57315.6429853222,NA
2010,"5 - Bute Inlet",25473.4084802966,NA
2011,"5 - Bute Inlet",43994.6043768881,NA
2012,"5 - Bute Inlet",87487.2653592608,NA
2013,"5 - Bute Inlet",87833.7358577761,NA
1953,"6 - Georgia Strait",321917.988289138,NA
1954,"6 - Georgia Strait",439510.048689443,NA
1955,"6 - Georgia Strait",149242.800080146,939207.316681436
1956,"6 - Georgia Strait",177788.800417473,453202.721082652
1957,"6 - Georgia Strait",352149.029275955,400593.800495595
1958,"6 - Georgia Strait",463997.74273884,92217.1064942115
1959,"6 - Georgia Strait",276043.044948098,367468.072617517
1960,"6 - Georgia Strait",142284.666901066,213732.197027299
1961,"6 - Georgia Strait",160120.706983481,129231.413777303
1962,"6 - Georgia Strait",191448.349291757,316187.406570146
1963,"6 - Georgia Strait",111083.252841027,136952.747454924
1964,"6 - Georgia Strait",157534.458694177,640402.176597968
1965,"6 - Georgia Strait",118292.159571393,346399.308613104
1966,"6 - Georgia Strait",298723.304924389,646405.784386229
1967,"6 - Georgia Strait",186918.388853352,140304.682731322
1968,"6 - Georgia Strait",392875.550198102,1257946.99828628
1969,"6 - Georgia Strait",284076.859003719,1091155.17037531
1970,"6 - Georgia Strait",210063.961674511,266245.377465588
1971,"6 - Georgia Strait",137902.610454179,201304.335774851
1972,"6 - Georgia Strait",446291.166074934,417266.776115131
1973,"6 - Georgia Strait",323005.150322085,344394.864700801
1974,"6 - Georgia Strait",314813.562972902,738914.592314196
1975,"6 - Georgia Strait",161062.016850729,205160.292248777
1976,"6 - Georgia Strait",144449.129285617,497515.932925346
1977,"6 - Georgia Strait",336132.326037814,520823.250058979
1978,"6 - Georgia Strait",399898.998838849,690423.890793253
1979,"6 - Georgia Strait",183889.093150884,377785.862646071
1980,"6 - Georgia Strait",371147.595214958,302841.591896478
1981,"6 - Georgia Strait",338129.364673906,808221.168840857
1982,"6 - Georgia Strait",342955.069964312,832275.17425764
1983,"6 - Georgia Strait",316455.482194773,701269.218183823
1984,"6 - Georgia Strait",406571.50719825,991501.021299308
1985,"6 - Georgia Strait",585764.901645084,355342.972146536
1986,"6 - Georgia Strait",292861.76445262,1348659.6253999
1987,"6 - Georgia Strait",470821.625372091,479947.804705704
1988,"6 - Georgia Strait",442245.489075973,1555294.19996939
1989,"6 - Georgia Strait",181164.725285054,1269057.65671703
1990,"6 - Georgia Strait",457178.563463105,720388.297739258
1991,"6 - Georgia Strait",396819.525687615,286846.363228256
1992,"6 - Georgia Strait",469967.795527793,283066.520888424
1993,"6 - Georgia Strait",561535.553783255,387186.221652154
1994,"6 - Georgia Strait",424064.83527282,932451.467679336
1995,"6 - Georgia Strait",202268.884672712,364753.335929429
1996,"6 - Georgia Strait",243990.917305205,193269.08012506
1997,"6 - Georgia Strait",273245.801205724,608249.754992619
1998,"6 - Georgia Strait",501798.876463604,838270.610319304
1999,"6 - Georgia Strait",269138.76975002,992647.294773225
2000,"6 - Georgia Strait",121428.44557632,692756.995014391
2001,"6 - Georgia Strait",518646.401318682,650291.234288092
2002,"6 - Georgia Strait",445138.855581087,658582.406172632
2003,"6 - Georgia Strait",515075.080023443,722639.636987611
2004,"6 - Georgia Strait",604325.354158939,261469.215434976
2005,"6 - Georgia Strait",393563.128826546,662219.523232393
2006,"6 - Georgia Strait",390364.282051172,177603.794064059
2007,"6 - Georgia Strait",489880.664002134,NA
2008,"6 - Georgia Strait",370783.372954936,NA
2009,"6 - Georgia Strait",362684.912825974,NA
2010,"6 - Georgia Strait",253378.263469329,NA
2011,"6 - Georgia Strait",485352.393827415,NA
2012,"6 - Georgia Strait",662398.754085107,NA
2013,"6 - Georgia Strait",490559.434731058,NA
1953,"7 - Howe Sound-Burrard Inlet",40063.1224781759,NA
1954,"7 - Howe Sound-Burrard Inlet",97258.929853523,NA
1955,"7 - Howe Sound-Burrard Inlet",41790.3391398829,378067.190068682
1956,"7 - Howe Sound-Burrard Inlet",20901.0990857263,253265.879879928
1957,"7 - Howe Sound-Burrard Inlet",112535.031026096,148510.793473487
1958,"7 - Howe Sound-Burrard Inlet",124358.537903801,30686.8620732814
1959,"7 - Howe Sound-Burrard Inlet",257596.551982764,154918.314431913
1960,"7 - Howe Sound-Burrard Inlet",85300.7555136447,97468.7719729006
1961,"7 - Howe Sound-Burrard Inlet",50437.5743067693,37786.5782161516
1962,"7 - Howe Sound-Burrard Inlet",80315.646425185,52503.9850066196
1963,"7 - Howe Sound-Burrard Inlet",68260.1538583215,38817.003975182
1964,"7 - Howe Sound-Burrard Inlet",60896.5286688319,273594.258626679
1965,"7 - Howe Sound-Burrard Inlet",25759.0010702338,136640.788095558
1966,"7 - Howe Sound-Burrard Inlet",43187.9769187503,377432.050313212
1967,"7 - Howe Sound-Burrard Inlet",64173.2327657691,80939.7772364094
1968,"7 - Howe Sound-Burrard Inlet",178647.002447293,927038.558829364
1969,"7 - Howe Sound-Burrard Inlet",110675.728480139,782672.5480205
1970,"7 - Howe Sound-Burrard Inlet",183250.582439408,171343.248100112
1971,"7 - Howe Sound-Burrard Inlet",60955.2350918958,124357.920334521
1972,"7 - Howe Sound-Burrard Inlet",465238.883742634,400427.175296971
1973,"7 - Howe Sound-Burrard Inlet",362678.846106792,229450.841156049
1974,"7 - Howe Sound-Burrard Inlet",203955.011643887,344168.173377968
1975,"7 - Howe Sound-Burrard Inlet",99325.9130981374,80067.4586766776
1976,"7 - Howe Sound-Burrard Inlet",177082.09930389,390530.980399854
1977,"7 - Howe Sound-Burrard Inlet",198095.871811107,341000.413616045
1978,"7 - Howe Sound-Burrard Inlet",185254.629838167,315206.552575926
1979,"7 - Howe Sound-Burrard Inlet",53793.4955637074,165884.807156215
1980,"7 - Howe Sound-Burrard Inlet",336978.392640693,151318.315104801
1981,"7 - Howe Sound-Burrard Inlet",203323.057821514,585930.047173715
1982,"7 - Howe Sound-Burrard Inlet",196025.157965866,663211.197733705
1983,"7 - Howe Sound-Burrard Inlet",148691.281629227,204391.9611778
1984,"7 - Howe Sound-Burrard Inlet",212028.581323031,302010.827081858
1985,"7 - Howe Sound-Burrard Inlet",445696.348017348,135136.845478842
1986,"7 - Howe Sound-Burrard Inlet",286305.178811044,353996.728316093
1987,"7 - Howe Sound-Burrard Inlet",114397.033864407,158384.891169471
1988,"7 - Howe Sound-Burrard Inlet",135990.40487159,519959.169968223
1989,"7 - Howe Sound-Burrard Inlet",85394.1727436787,342279.992549862
1990,"7 - Howe Sound-Burrard Inlet",130580.238157304,410737.997407923
1991,"7 - Howe Sound-Burrard Inlet",166422.386151606,185775.342913554
1992,"7 - Howe Sound-Burrard Inlet",204841.010178042,228312.406526409
1993,"7 - Howe Sound-Burrard Inlet",146376.013382175,377530.112285955
1994,"7 - Howe Sound-Burrard Inlet",303279.980884205,244704.598945727
1995,"7 - Howe Sound-Burrard Inlet",130188.964378361,110539.545271593
1996,"7 - Howe Sound-Burrard Inlet",199873.204511115,366026.195822984
1997,"7 - Howe Sound-Burrard Inlet",281405.039515281,615103.853585591
1998,"7 - Howe Sound-Burrard Inlet",114048.86094111,823281.56825094
1999,"7 - Howe Sound-Burrard Inlet",70753.9648790434,1361593.61414523
2000,"7 - Howe Sound-Burrard Inlet",324154.087847926,1214508.27195325
2001,"7 - Howe Sound-Burrard Inlet",555492.303843117,691383.752732525
